"Value","Qty","Reference","Footprint"
"TCRT5000L","2","U1,U3","OptoDevice:Vishay_TCRT5000"
"100nF","1","C1","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm"
"Conn_01x04_Socket","1","J2","GS_Connectors:JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal"
"IR204A","2","D1,D2","LED_THT:LED_D5.0mm"
"BPW40","2","Q1,Q2","LED_THT:LED_D5.0mm_Clear"
"1uF","1","C2","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm"
"330","2","R1,R2","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"100k","2","RV1,RV2","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical"
